District_Name,Soil_Color,Nitrogen,Phosphorus,Potassium,pH,Rainfall,Temperature,Crop,Fertilizer,Link
Jodhpur,Pale Yellow,162,12,139,7.9,367,23,Bajra,DAP,
Jodhpur,Light Brown,123,22,272,8.4,319,23,Bajra,DAP,
Jodhpur,Pale Yellow,178,22,316,8,250,23,Bajra,Compost,
Jodhpur,Yellow Brown,118,17,178,8.4,322,23,Bajra,DAP,
Jodhpur,Sandy Brown,185,20,253,8.2,377,23,Bajra,MOP,
Jodhpur,Pale Yellow,140,11,224,7.9,399,23,Bajra,DAP,
Jodhpur,Sandy Brown,189,15,246,8.1,382,23,Bajra,FYM,
Jodhpur,Yellow Brown,160,10,288,7.8,328,23,Bajra,DAP,
Jodhpur,Light Brown,142,16,298,7.2,250,23,Bajra,Urea,
Jodhpur,Pale Yellow,177,25,241,8.2,330,23,Bajra,Vermicompost,
Jodhpur,Sandy Brown,166,11,327,7.6,392,23,Bajra,SSP,
Jodhpur,Sandy Brown,199,14,178,7.2,416,23,Bajra,DAP,
Jodhpur,Yellow Brown,118,9,151,7.5,396,23,Bajra,Urea,
Jodhpur,Pale Yellow,210,11,258,7.4,335,23,Bajra,SSP,
Jodhpur,Desert Sand,119,21,308,8.1,250,23,Bajra,Urea,
Jodhpur,Sandy Brown,119,14,149,7.3,337,23,Bajra,Urea,
Jodhpur,Desert Sand,173,9,276,7.7,403,23,Bajra,DAP,
Jodhpur,Pale Yellow,189,24,293,8.1,428,23,Bajra,Vermicompost,
Jodhpur,Sandy Brown,126,16,306,7.9,405,23,Bajra,FYM,
Jodhpur,Sandy Brown,151,20,287,8.1,340,23,Bajra,Zinc Sulphate,
Jodhpur,Yellow Brown,182,11,317,7.8,250,23,Bajra,DAP,
Jodhpur,Sandy Brown,162,15,274,7.7,340,23,Bajra,DAP,
Jodhpur,Pale Yellow,212,13,259,7.7,406,23,Bajra,DAP,
Jodhpur,Desert Sand,188,23,214,7.4,429,24,Bajra,SSP,
Jodhpur,Pale Yellow,144,17,244,8.1,405,24,Bajra,NPK,
Jodhpur,Light Brown,167,14,209,8.4,339,24,Bajra,DAP,
Jodhpur,Yellow Brown,185,9,234,7.6,250,24,Bajra,DAP,
Jodhpur,Desert Sand,125,8,143,8.3,337,24,Bajra,DAP,
Jodhpur,Yellow Brown,157,10,162,7.9,400,24,Bajra,SSP,
Jodhpur,Light Brown,149,17,251,8.1,421,24,Bajra,Zinc Sulphate,
Jodhpur,Pale Yellow,162,22,304,8.3,396,24,Bajra,Vermicompost,
Jodhpur,Light Brown,182,13,194,8.3,333,24,Bajra,DAP,
Jodhpur,Yellow Brown,120,15,223,7.4,250,24,Bajra,SSP,
Jodhpur,Light Brown,165,11,159,8.3,330,24,Bajra,DAP,
Jodhpur,Sandy Brown,142,17,297,7.9,387,24,Bajra,Compost,
Jodhpur,Yellow Brown,161,19,251,8,405,24,Bajra,Compost,
Jodhpur,Light Brown,136,15,257,8.2,382,25,Bajra,Compost,
Jodhpur,Sandy Brown,133,18,153,7.9,325,25,Bajra,NPK,
Jodhpur,Desert Sand,136,12,202,7.3,250,25,Bajra,DAP,
Jodhpur,Sandy Brown,178,17,262,8.2,322,25,Bajra,Vermicompost,
Jodhpur,Sandy Brown,175,9,299,7.3,372,25,Bajra,DAP,
Jodhpur,Yellow Brown,142,16,194,7.8,388,25,Bajra,NPK,
Jodhpur,Desert Sand,174,20,231,7.8,367,25,Bajra,Urea,
Jodhpur,Light Brown,189,15,258,8.4,316,25,Bajra,SSP,
Jodhpur,Yellow Brown,119,12,193,8.3,250,25,Bajra,DAP,
Jodhpur,Desert Sand,119,16,299,8.2,314,25,Bajra,Urea,
Jodhpur,Pale Yellow,182,10,277,7.4,359,26,Bajra,DAP,
Jodhpur,Yellow Brown,195,25,294,7.9,374,26,Bajra,Gypsum,
Jodhpur,Pale Yellow,145,13,292,8,356,26,Bajra,DAP,
Jodhpur,Light Brown,137,22,281,7.5,311,26,Bajra,Vermicompost,
Jodhpur,Pale Yellow,93,27,290,7.9,250,26,Moth,Urea,
Jodhpur,Light Brown,91,13,215,7.5,310,26,Moth,Urea,
Jodhpur,Pale Yellow,105,10,302,8.3,354,26,Moth,Urea,
Jodhpur,Light Brown,89,14,254,8.3,370,26,Moth,Urea,
Jodhpur,Sandy Brown,85,14,236,7.3,354,27,Moth,DAP,
Jodhpur,Pale Yellow,134,16,172,8.2,310,27,Moth,NPK,
Jodhpur,Sandy Brown,93,21,262,8.3,250,27,Moth,Urea,
Jodhpur,Yellow Brown,91,21,296,8.1,312,27,Moth,Urea,
Jodhpur,Sandy Brown,100,16,271,7.3,358,27,Moth,Urea,
Jodhpur,Light Brown,89,12,291,8.3,376,27,Moth,Urea,
Jodhpur,Desert Sand,128,9,280,7.7,361,27,Moth,DAP,
Jodhpur,Pale Yellow,150,21,188,8.4,315,27,Moth,MOP,
Jodhpur,Yellow Brown,101,12,330,7.5,250,28,Moth,Urea,
Jodhpur,Pale Yellow,110,14,276,7.8,318,28,Moth,Urea,
Jodhpur,Light Brown,109,20,343,7.4,369,28,Moth,Urea,
Jodhpur,Sandy Brown,139,12,212,8,391,28,Moth,DAP,
Jodhpur,Sandy Brown,82,10,228,7.2,374,28,Moth,DAP,
Jodhpur,Pale Yellow,94,25,210,7.9,323,28,Moth,Urea,
Jodhpur,Yellow Brown,138,21,180,8,250,29,Moth,MOP,
Jodhpur,Sandy Brown,98,11,193,8.4,326,29,Moth,Urea,
Jodhpur,Light Brown,142,12,257,8.3,385,29,Moth,DAP,
Jodhpur,Sandy Brown,100,9,237,8.4,408,29,Moth,Urea,
Jodhpur,Sandy Brown,137,16,289,8.4,390,29,Moth,FYM,
Jodhpur,Sandy Brown,131,9,284,7.6,332,29,Moth,SSP,
Jodhpur,Pale Yellow,128,24,177,7.9,250,29,Moth,NPK,
Jodhpur,Sandy Brown,113,21,250,8.5,334,30,Moth,Urea,
Jodhpur,Light Brown,103,11,311,7.3,398,30,Moth,DAP,
Jodhpur,Light Brown,129,17,293,8,423,30,Moth,Gypsum,
Jodhpur,Sandy Brown,107,12,322,7.7,402,30,Moth,Urea,
Jodhpur,Yellow Brown,140,13,269,7.5,338,30,Moth,DAP,
Jodhpur,Desert Sand,101,17,278,7.4,250,30,Moth,Urea,
Jodhpur,Desert Sand,111,15,217,7.7,339,31,Moth,Urea,
Jodhpur,Sandy Brown,82,19,176,7.7,405,31,Moth,DAP,
Jodhpur,Pale Yellow,100,23,183,7.4,430,31,Moth,Urea,
Jodhpur,Pale Yellow,141,12,333,7.4,406,31,Moth,SSP,
Jodhpur,Sandy Brown,134,18,346,7.6,340,31,Moth,SSP,
Jodhpur,Yellow Brown,131,18,248,7.3,250,31,Moth,NPK,
Jodhpur,Light Brown,93,26,172,7.4,339,32,Moth,Urea,
Jodhpur,Sandy Brown,95,18,281,8,404,32,Moth,Urea,
Jodhpur,Light Brown,86,9,181,7.8,426,32,Moth,DAP,
Jodhpur,Light Brown,138,10,352,8.2,401,32,Moth,DAP,
Jodhpur,Yellow Brown,92,13,213,8.5,336,32,Moth,Urea,
Jodhpur,Pale Yellow,98,22,334,7.5,250,32,Moth,Urea,
Jodhpur,Yellow Brown,79,15,300,7.6,334,33,Moth,DAP,
Jodhpur,Pale Yellow,99,13,354,7.3,394,33,Moth,Urea,
Jodhpur,Light Brown,89,18,218,7.9,413,33,Moth,Urea,
Jodhpur,Pale Yellow,97,18,187,7.4,389,33,Moth,Urea,
Jodhpur,Yellow Brown,135,11,167,8.3,329,33,Moth,DAP,
Jodhpur,Light Brown,96,25,235,8.1,250,34,Moth,DAP,
Jodhpur,Pale Yellow,102,26,296,8.1,326,34,Moth,Urea,
Jodhpur,Pale Yellow,130,27,249,8.3,379,34,Guar,Compost,
Jodhpur,Pale Yellow,90,22,244,8.1,396,34,Guar,Urea,
Jodhpur,Light Brown,109,24,180,8.3,374,34,Guar,Urea,
Jodhpur,Pale Yellow,96,23,252,8.2,320,34,Guar,DAP,
Jodhpur,Light Brown,92,27,301,8.5,250,35,Guar,Urea,
Jodhpur,Yellow Brown,73,12,344,7.5,317,35,Guar,Urea,
Jodhpur,Sandy Brown,87,20,227,7.9,364,35,Guar,Urea,
Jodhpur,Sandy Brown,121,25,248,7.5,380,35,Guar,Urea,
Jodhpur,Yellow Brown,116,26,334,8,360,35,Guar,Urea,
Jodhpur,Sandy Brown,99,20,339,7.6,313,35,Guar,Urea,
Jodhpur,Sandy Brown,117,31,371,7.3,250,36,Guar,DAP,
Jodhpur,Desert Sand,109,27,286,7.8,311,36,Guar,DAP,
Jodhpur,Light Brown,81,22,371,7.5,355,36,Guar,DAP,
Jodhpur,Pale Yellow,76,28,194,7.3,371,36,Guar,DAP,
Jodhpur,Light Brown,112,12,375,7.2,354,36,Guar,Urea,
Jodhpur,Yellow Brown,89,23,246,7.5,310,36,Guar,DAP,
Jodhpur,Light Brown,98,28,394,7.3,250,37,Guar,DAP,
Jodhpur,Desert Sand,99,30,232,7.2,310,37,Guar,DAP,
Jodhpur,Desert Sand,127,29,382,7.3,355,37,Guar,FYM,
Jodhpur,Sandy Brown,108,23,245,7.7,372,37,Guar,Urea,
Jodhpur,Yellow Brown,104,28,379,8.1,357,37,Guar,DAP,
Jodhpur,Light Brown,79,10,242,8.4,312,37,Guar,DAP,
Jodhpur,Sandy Brown,100,22,206,8.1,250,37,Guar,Urea,
