District_Name,Nitrogen,Phosphorus,Potassium,pH,Rainfall,Temperature,Crop,Fertilizer,Soil_color,Link,Yield
Jodhpur,162,12,139,7.9,367,23,Bajra,DAP,Pale Yellow,,52.35
Jodhpur,123,22,272,8.4,319,23,Bajra,DAP,Light Brown,,52.75
Jodhpur,178,22,316,8,250,23,Bajra,Compost,Pale Yellow,,50.8
Jodhpur,118,17,178,8.4,322,23,Bajra,DAP,Yellow Brown,,47.85
Jodhpur,185,20,253,8.2,377,23,Bajra,MOP,Sandy Brown,,60.6
Jodhpur,140,11,224,7.9,399,23,Bajra,DAP,Pale Yellow,,58.65
Jodhpur,189,15,246,8.1,382,23,Bajra,FYM,Sandy Brown,,60.7
Jodhpur,160,10,288,7.8,328,23,Bajra,DAP,Yellow Brown,,55.7
Jodhpur,142,16,298,7.2,250,23,Bajra,Urea,Light Brown,,47.8
Jodhpur,177,25,241,8.2,330,23,Bajra,Vermicompost,Pale Yellow,,55.15
Jodhpur,166,11,327,7.6,392,23,Bajra,SSP,Sandy Brown,,64.4
Jodhpur,199,14,178,7.2,416,23,Bajra,DAP,Sandy Brown,,61.15
Jodhpur,118,9,151,7.5,396,23,Bajra,Urea,Yellow Brown,,53.5
Jodhpur,210,11,258,7.4,335,23,Bajra,SSP,Pale Yellow,,57.45
Jodhpur,119,21,308,8.1,250,23,Bajra,Urea,Desert Sand,,47.4
Jodhpur,119,14,149,7.3,337,23,Bajra,Urea,Sandy Brown,,47.8
Jodhpur,173,9,276,7.7,403,23,Bajra,DAP,Desert Sand,,63.2
Jodhpur,189,24,293,8.1,428,23,Bajra,Vermicompost,Pale Yellow,,68.1
Jodhpur,126,16,306,7.9,405,23,Bajra,FYM,Sandy Brown,,62.9
Jodhpur,151,20,287,8.1,340,23,Bajra,Zinc Sulphate,Sandy Brown,,56.9
Jodhpur,182,11,317,7.8,250,23,Bajra,DAP,Yellow Brown,,50.5
Jodhpur,162,15,274,7.7,340,23,Bajra,DAP,Sandy Brown,,56.55
Jodhpur,212,13,259,7.7,406,23,Bajra,DAP,Pale Yellow,,64.8
Jodhpur,188,23,214,7.4,429,24,Bajra,SSP,Desert Sand,,64.15
Jodhpur,144,17,244,8.1,405,24,Bajra,NPK,Pale Yellow,,60.75
Jodhpur,167,14,209,8.4,339,24,Bajra,DAP,Light Brown,,53.4
Jodhpur,185,9,234,7.6,250,24,Bajra,DAP,Yellow Brown,,46.4
Jodhpur,125,8,143,8.3,337,24,Bajra,DAP,Desert Sand,,47.5
Jodhpur,157,10,162,7.9,400,24,Bajra,SSP,Yellow Brown,,56.45
Jodhpur,149,17,251,8.1,421,24,Bajra,Zinc Sulphate,Light Brown,,62.95
Jodhpur,162,22,304,8.3,396,24,Bajra,Vermicompost,Pale Yellow,,64
Jodhpur,182,13,194,8.3,333,24,Bajra,DAP,Light Brown,,52.75
Jodhpur,120,15,223,7.4,250,24,Bajra,SSP,Yellow Brown,,42.9
Jodhpur,165,11,159,8.3,330,24,Bajra,DAP,Light Brown,,49.75
Jodhpur,142,17,297,7.9,387,24,Bajra,Compost,Sandy Brown,,61.5
Jodhpur,161,19,251,8,405,24,Bajra,Compost,Yellow Brown,,62.05
Jodhpur,136,15,257,8.2,382,25,Bajra,Compost,Light Brown,,58.6
Jodhpur,133,18,153,7.9,325,25,Bajra,NPK,Sandy Brown,,47.7
Jodhpur,136,12,202,7.3,250,25,Bajra,DAP,Desert Sand,,42.5
Jodhpur,178,17,262,8.2,322,25,Bajra,Vermicompost,Sandy Brown,,55.05
Jodhpur,175,9,299,7.3,372,25,Bajra,DAP,Sandy Brown,,61.35
Jodhpur,142,16,194,7.8,388,25,Bajra,NPK,Yellow Brown,,56.4
Jodhpur,174,20,231,7.8,367,25,Bajra,Urea,Desert Sand,,57.95
Jodhpur,189,15,258,8.4,316,25,Bajra,SSP,Light Brown,,54.7
Jodhpur,119,12,193,8.3,250,25,Bajra,DAP,Yellow Brown,,41.2
Jodhpur,119,16,299,8.2,314,25,Bajra,Urea,Desert Sand,,53.1
Jodhpur,182,10,277,7.4,359,26,Bajra,DAP,Pale Yellow,,59.35
Jodhpur,195,25,294,7.9,374,26,Bajra,Gypsum,Yellow Brown,,63.1
Jodhpur,145,13,292,8,356,26,Bajra,DAP,Pale Yellow,,58.1
Jodhpur,137,22,281,7.5,311,26,Bajra,Vermicompost,Light Brown,,53.1
